main_joueur,main_dealer,actions,total_joueur,total_dealer,running_count,true_count,résultat,is_doubled,id_sabot,taille_sabot,paquet_restant,bj_joueur,bj_dealer
"[3, 7, 10, 'J']","['K', 7]","['H', 'H']",30,17,-2,-0.3398692810457516,-1,False,0,306,5.884615384615385,False,False
"['K', 2]","[6, 3, 4, 6]",['S'],12,19,2,0.3466666666666667,-1,False,0,300,5.769230769230769,False,False
"['K', 9, 6]","[2, 3, 'J', 2]",['D'],25,17,4,0.7098976109215016,-2,True,0,293,5.634615384615385,False,False
"[3, 6]","[10, 6, 9]",['S'],9,25,6,1.0833333333333333,1,False,0,288,5.538461538461538,False,False
"[11, 7]","[8, 'Q']",['S'],18,18,4,0.7323943661971831,0,False,0,284,5.461538461538462,False,False
"[2, 8, 5]","['J', 6, 6]",['D'],15,22,7,1.3093525179856116,2,True,0,278,5.346153846153846,False,False
"['J', 3]","[4, 11, 9, 'K']",['S'],13,24,6,1.1470588235294117,1,False,0,272,5.230769230769231,False,False
"['J', 2]","[6, 8, 11, 8]",['S'],12,23,6,1.1729323308270678,1,False,0,266,5.115384615384615,False,False
"[9, 5]","[11, 9]",['S'],14,20,6,1.1908396946564885,-1,False,0,262,5.038461538461538,False,False
"[9, 5, 5, 8]","['Q', 'Q']","['H', 'D']",27,20,6,1.21875,-2,True,0,256,4.923076923076923,False,False
"[8, 'J', 7]","[7, 10]",['D'],25,17,4,0.8286852589641435,-2,True,0,251,4.826923076923077,False,False
"[8, 4]","[11, 5, 'Q', 'Q']",['S'],12,26,3,0.636734693877551,1,False,0,245,4.711538461538462,False,False
"['Q', 8]","[9, 11]",['S'],18,20,1,0.21576763485477177,-1,False,0,241,4.634615384615385,False,False
"['Q', 5, 'J']","[9, 7, 3]","['SP', 'D']",25,19,3,0.6753246753246753,-2,True,0,231,4.4423076923076925,False,False
"['Q', 4, 3, 5]","[9, 7, 3]","['SP', 'H', 'D']",22,19,3,0.6753246753246753,-2,True,0,231,4.4423076923076925,False,False
"[4, 'Q', 2, 4, 6]","['Q', 7]","['H', 'H', 'H']",26,17,5,1.1607142857142858,-1,False,0,224,4.3076923076923075,False,False
"['J', 7]","['Q', 3, 11, 7]",['S'],17,21,3,0.7155963302752293,-1,False,0,218,4.1923076923076925,False,False
"['Q', 4, 2, 4, 3]","[9, 6, 11, 'K']","['H', 'H', 'D']",23,26,5,1.244019138755981,-2,True,0,209,4.019230769230769,False,False
"[10, 6]","[9, 'K']",['S'],16,19,4,1.0146341463414634,-1,False,0,205,3.9423076923076925,False,False
"[8, 2, 2]","[4, 4, 'J']","['H', 'S']",12,18,7,1.829145728643216,-1,False,0,199,3.826923076923077,False,False
"[4, 'K']","[11, 'K']",[],14,21,5,1.3333333333333333,-1,False,0,195,3.75,False,True
"[3, 6, 'J', 11]","[2, 'K', 'J']","['H', 'D']",20,22,4,1.1063829787234043,2,True,0,188,3.6153846153846154,False,False
"['J', 7, 11]","[2, 10, 'K']",['D'],18,22,1,0.2857142857142857,2,True,0,182,3.5,False,False
"[9, 4, 7]","['Q', 7]",['D'],20,17,1,0.2937853107344633,2,True,0,177,3.4038461538461537,False,False
"[7, 'Q']","[10, 10]",['S'],17,20,-2,-0.6011560693641618,-1,False,0,173,3.326923076923077,False,False
"[6, 8]","[4, 9, 4]","['SP', 'S']",14,17,2,0.6303030303030304,-1,False,0,165,3.173076923076923,False,False
"[6, 2, 'K']","[4, 9, 4]","['SP', 'D']",18,17,2,0.6303030303030304,2,True,0,165,3.173076923076923,False,False
"['K', 3]","[10, 'Q']",['S'],13,20,0,0.0,-1,False,0,161,3.0961538461538463,False,False
"[5, 10, 8]","[6, 4, 11]",['H'],23,21,1,0.3354838709677419,-1,False,0,155,2.980769230769231,False,False
"['J', 3]","[7, 7, 6]",['S'],13,20,2,0.6933333333333334,-1,False,0,150,2.8846153846153846,False,False
"[9, 3, 'Q']","[4, 10, 3]",['H'],22,17,3,1.0833333333333333,-1,False,0,144,2.769230769230769,False,False
"[9, 'Q', 4]","['J', 'K']",['D'],23,20,1,0.37410071942446044,-2,True,0,139,2.673076923076923,False,False
"[3, 'Q', 'J']","['Q', 10]",['D'],23,20,-2,-0.7761194029850745,-2,True,0,134,2.576923076923077,False,False
"[10, 'Q', 'J']","['J', 8]",['H'],30,18,-6,-2.4186046511627906,-1,False,0,129,2.480769230769231,False,False
"[10, 8, 10]","[7, 10]",['D'],28,17,-9,-3.774193548387097,-2,True,0,124,2.3846153846153846,False,False
"[7, 9]","[2, 3, 8, 11, 8]",['S'],16,22,-8,-3.5555555555555554,1,False,0,117,2.25,False,False
"['Q', 3, 'J']","['J', 'K']",['D'],23,20,-11,-5.107142857142858,-2,True,0,112,2.1538461538461537,False,False
"['J', 2, 11]","[11, 9]","['H', 'S']",13,20,-13,-6.317757009345795,-1,False,0,107,2.0576923076923075,False,False
"[5, 10, 5]","[5, 4, 'K']","['H', 'S']",20,19,-11,-5.663366336633663,1,False,0,101,1.9423076923076923,False,False
"[11, 2]","[4, 9, 11, 3]",['S'],13,17,-10,-5.473684210526316,-1,False,0,95,1.8269230769230769,False,False
"[5, 6, 11]","[8, 6, 9]",['D'],12,23,-8,-4.674157303370786,2,True,0,89,1.7115384615384615,False,False
"['J', 10]","[7, 4, 'Q']",['S'],20,21,-10,-6.190476190476191,-1,False,0,84,1.6153846153846154,False,False
"[8, 2]","[11, 'Q']",[],10,21,-11,-7.1499999999999995,-1,False,0,80,1.5384615384615385,False,True
"[10, 11]","[5, 10, 10]",['S'],21,25,-14,-9.706666666666667,1,False,0,75,1.4423076923076923,True,False
"['J', 4]","[9, 9]",['S'],14,18,0,0.0,-1,False,1,308,5.923076923076923,False,False
"[8, 10, 11, 10]","[6, 6, 4, 10]","['H', 'D']",29,26,-1,-0.17333333333333334,-2,True,1,300,5.769230769230769,False,False
"[2, 11]","[11, 2, 7]",['S'],13,20,-1,-0.17627118644067796,-1,False,1,295,5.673076923076923,False,False
"[4, 3, 'Q', 11, 'Q']","[4, 8, 3, 8]","['SP', 'H', 'H', 'H']",28,23,3,0.5512367491166078,-1,False,1,283,5.4423076923076925,False,False
"[4, 6, 4]","[4, 8, 3, 8]","['SP', 'D']",14,23,3,0.5512367491166078,2,True,1,283,5.4423076923076925,False,False
"[8, 'J', 2]","[2, 8, 8]",['D'],20,18,4,0.7509025270758123,2,True,1,277,5.326923076923077,False,False
"[6, 3, 7, 9]","[6, 5, 8]","['H', 'H']",25,19,8,1.5407407407407407,-1,False,1,270,5.1923076923076925,False,False
"[5, 8, 3, 6]","[10, 7]","['H', 'D']",22,17,10,1.9696969696969697,-2,True,1,264,5.076923076923077,False,False
"['Q', 9, 8]","['K', 'Q']",['D'],27,20,7,1.4054054054054055,-2,True,1,259,4.980769230769231,False,False
"[8, 10, 3]","[7, 11]",['D'],21,18,6,1.2283464566929132,2,True,1,254,4.884615384615385,False,False
"['K', 10]","[10, 11]",[],20,21,2,0.41600000000000004,-1,False,1,250,4.8076923076923075,False,True
"[9, 8, 5]","['J', 9]",['H'],22,19,2,0.42448979591836733,-1,False,1,245,4.711538461538462,False,False
